#
#ID    F390W F390W_error    F606W    F606W_error    F110W    F110W_error    F160W    F160W_error
#
8   24.93  0.13 24.79  0.13 23.07  0.03 22.48  0.04  
29  25.51  0.19 25.39  0.14 22.72  0.02 21.98  0.02  
45  25.55  0.06 25.31  0.11 22.33  0.04 21.73  0.04  
67  25.72  0.14 25.44  0.12 23.58  0.03 22.96  0.03  
69  25.28  0.13 25.37  0.10 22.97  0.02 22.21  0.02  
76  24.20  0.06 24.25  0.06 23.42  0.03 22.48  0.03  
78  25.58  0.13 25.27  0.13 22.50  0.03 21.74  0.02  
80  25.20  0.09 25.28  0.08 23.65  0.05 23.58  0.07  
85  25.22  0.07 25.09  0.11 22.26  0.03 21.44  0.02  
98  25.31  0.13 25.08  0.12 22.98  0.02 22.41  0.02  
104 25.40  0.13 25.34  0.13 23.78  0.03 23.41  0.04  
106 25.41  0.10 25.36  0.10 23.36  0.04 22.63  0.04  
107 24.62  0.17 24.94  0.14 22.36  0.02 21.94  0.02  
110 25.21  0.14 25.16  0.13 23.32  0.03 23.06  0.06  
111 25.31  0.15 25.07  0.13 22.84  0.03 22.22  0.03  
114 25.48  0.10 25.35  0.12 23.88  0.04 23.07  0.04  
123 25.20  0.12 25.10  0.14 23.47  0.04 23.10  0.05  
124 25.43  0.11 25.29  0.09 23.35  0.04 22.54  0.04  
